"ML#","% Interests In Common Elmts","Sewer Type","Sold Price","Spa Location","Special Assessments YN","Stories","Stories In Building","Style","Subdivision","Tennis Courts YN","Termite Contract YN","Transaction Type","Water Type","Waterfront","Year Built"
"CN158016","","City","$51,750","","","1.0","","","Woodlawn","","","","Public","","1955"
"CN157977","","","$130,000","","","1.0","","Mobile Home","Henderson-Leblanc","","","","Public","",""
"CN158051","","City","$181,000","","","1.0","","","LEBANON","","","","Public","","1978"
"CN158042","","City","$142,000","","","1.0","","","Hill Addn","","","","Public","",""
"CN158092","","City","$23,500","","","1.0","","","Monroe St","","","","Public","",""
"CN158068","","City","$179,000","","","2.0","","","Cypress Point Condo","","","","Public","","2011"
"CN158104","","","$205,000","","","1.5","","","Bayou Oaks","","","","Public","",""
"CN158082","","City","$299,000","","","2.0","","","Mahon","","","","Public","",""
"CN158054","","City","$310,000","","","1.0","","","Pecan Bayou","","","","Public","Water Front","2017"
"CN158107","","City","$205,000","","","1.0","","","Charles Park","","","","Public","","1972"
"CN158119","","City","$265,000","","","1.0","","","Hayden Bolton Place","","","","Public","","1938"
"CN158116","","City","$195,000","","","1.0","","","Magnolia Gardens Pha","","","","Public","","1994"
"CN158140","","City","$84,500","","","1.0","","","Raintree Condominium","","","","Public","","1983"
"CN158138","","City","$300,000","","","1.0","","","West Pointe","","","","Public","",""
"CN158151","","City","$274,500","","","1.0","","","Charles Park","","","","Public","","1978"
"CN158144","","City","$329,000","","","1.0","","","NONE","","","","Public","","1967"
"CN158141","","City","$137,000","","","1.0","","","Highpoint Addition","","","","Public","","1960"
"CN158149","","City","$360,000","","","1.0","","","Courtland Place","","","","Public","","2009"
"CN158227","","City","$8,900","","","1.0","","","Green Oaks","","","","Public","","1995"
"CN158194","","City","$639,000","","","2.0","","","Landmark","","","","Public","","2008"
"CN158242","","City","$420,000","","","2.0","","","CLERMONT ESTATES","","","","Public","","1984"
"CN158238","","Septic","$558,000","","","1.0","","","Clark Place","","","","Public","Water Front","2018"
"CN158394","","City","$675,000","","","2.0","","","Bayou Robert Estates","","","","Public","","1997"
"CN158251","","City","$168,000","","","1.0","","","Cobblestone Village","","","","Public","","1994"
"CN158274","","City","$130,000","","","1.0","","","Cloverdale","","","","Public","","1973"
"CN158268","","City","$180,000","","","1.0","","","Cypress Point","","","","Public","Water Front",""
"CN158262","","City","$345,000","","","1.0","","","PECAN BAYOU","","","","Public","","2016"
"CN158259","","City","$22,000","","","1.0","","","Poplar Grove","","","","Public","","1950"
"CN158272","","City","$320,000","","","1.0","","","St Andrews","","","","Public","",""
"CN158285","","City","$152,000","","","1.0","","","BELLMONT ADDN","","","","Public","",""
"CN158258","","City","$252,000","","","1.0","","","Bocage","","","","Public","","2010"
"CN158279","","City","$45,000","","","1.0","","","Bennett-Daspit","","","","Public","","1968"
"CN158244","","City","$184,000","","","1.0","","","Good Earth Subdivisi","","","","Public","","1980"
"CN158342","","City","$135,000","","","1.0","","","Parkland","","","","Public","","1950"
"CN158337","","City","$258,500","","","2.0","","","Hill Addition","","","","Public","","1904"
"CN158335","","City","$133,000","","","1.0","","","Circle B","","","","Public","","1960"
"CN158355","","City","$90,000","","","1.0","","","Chester Place","","","","Public","",""
"CN158357","","City","$400,000","","","1.0","","","Crossgates","","","","Public","","2007"
"CN158346","","City","$45,000","","","1.0","","","GUY, S.A.","","","","Public","","1932"
"CN158356","","City","$167,000","","","1.0","","","Castle Village","","","","Public","",""
"CN158381","","City","$130,000","","","1.0","","","na","","","","Public","","1960"
"CN158373","","City","$230,000","","","1.0","","","AUDUBON PLACE","","","","Public","",""
"CN158371","","City","$253,900","","","1.0","","","Lebanon","","","","Public","","1967"
"CN158368","","Septic","$125,000","","","1.0","","","HOW-ROB","","","","Public","","1962"
"CN158352","","City","$65,000","","","1.0","","","FOURLEAF VILLAGE","","","","Public","","1957"
"CN158376","","","$121,000","","","1.0","","","Grundy Cooper","","","","Public","","1960"
"CN158408","","","$169,900","","","1.0","","","GRUNDY COOPER SUBD.,","","","","Public","","1966"
"CN158392","","City","$138,350","","","1.0","","","OAK ISLE PLANTATION","","","","Public","",""
"CN158382","","City","$250,750","","","1.0","","","Bocage","","","","Public","","2011"
"CN158321","","","$108,000","","","1.0","","","Brookhaven","","","","Public","",""
"CN158295","","City","$215,000","","","2.0","","","Garden District","","","","Public","","1937"
"CN158418","","City","$81,000","","","1.0","","","QUAIL RIDGE","","","","Public","",""
"CN158395","","City","$470,000","","","1.0","","","Tennyson Oaks","","","","Public","","2014"
"CN158406","","City","$38,500","","","1.0","","","Lester SD","","","","Public","",""
"CN158443","","City","$100,000","","","2.0","","","Clarence Park","","","","Public","","1955"
"CN158438","","City","$165,000","","","1.0","","","Poplar Grove","","","","Public","","1957"
"CN158430","","City","$242,500","","","1.0","","","Bocage","","","","Public","",""
"CN158433","","City","$122,000","","","1.0","","","Plantation Acres","","","","Public","","1958"
"CN158476","","","$70,500","","","1.0","","","Grundy Cooper","","","","Public","","1963"
"CN158490","","City","$206,000","","","2.0","","","Park Place","","","","Public","","1940"
"CN158423","","City","$429,000","","","2.0","","","Charles Park","","","","Public","","1983"
"CN158480","","City","$273,000","","","1.0","","","CYPRESS POINT","","","","Public","","2014"
"CN158505","","City","$171,000","","","1.0","","","Clarence Park","","","","Public","","1917"
"CN158503","","","$31,250","","","1.0","","","Kellyland","","","","Public","",""
"CN158483","","City","$135,000","","","1.0","","","Poplar Grove","","","","Public","","1940"
"CN158521","","City","$195,000","","","1.0","","","FULTON ACRES","","","","Public","","1964"
"CN158383","","City","$192,000","","","1.0","","","Willow Wood Condomin","","","","Public","","1985"
"CN158543","","City","$370,000","","","2.0","","","HILLCREST ADDN.","","","","Public","","1950"
"CN158496","","","$335,000","","","2.0","","","Twin Bridges","","","","Public","Water Front","1995"
"CN158481","","City","$179,000","","","1.0","","","GOODEARTH","","","","Public","","1984"
"CN158323","","City","$136,000","","","1.0","","","St. Charles Place","","","","Public","",""
"CN158556","","City","$259,900","","","1.0","","","Highpoint","","","","Public","","1968"
"CN158587","","City","$47,500","","","1.0","","","Hill Addition","","","","Public","","1937"
"CN158579","","","$125,000","","","1.0","","","Grundy Cooper","","","","Public","","1965"
"CN158590","","City","$130,000","","","1.0","","","Highpoint","","","","Public","","1963"
"CN158629","","City","$120,000","","","1.0","","","Castle Village S/D","","","","Public","","1962"
"CN158619","","City","$170,000","","","1.0","","","Good Earth","","","","Public","","1978"
"CN158642","","City","$165,000","","","1.0","","","White Addition","","","","Public","","1937"
"CN158657","","City","$165,000","","","1.0","","","Castle Village","","","","Public","","1964"
"CN158632","","City","$105,000","","","1.0","","","PARLIAMENT SQUARE","","","","Public","",""
"CN158628","","City","$558,000","","","1.0","","","Tennyson Oaks","","","","Public","",""
"CN158662","","City","$203,000","","","1.0","","","Good Earth","","","","Public","","1982"
"CN158671","","City","$238,500","","","1.0","","","Charles Park","","","","Public","","1967"
"CN158681","","City","$39,900","","","1.0","","","Poplar Grove","","","","Public","","1932"
"CN158712","","City","$123,000","","","1.0","","","Highpoint Addition","","","","Public","","1960"
"CN158683","","City","$157,000","","","1.0","","","THIELS PLACE","","","","Public","","1976"
"CN158676","","City","$229,000","","","1.0","","","Wilshire Park","","","","Public","",""
"CN158693","","City","$165,000","","","1.0","","","Wilshire Park","","","","Public","","1964"
"CN158674","","City","$240,000","","","1.0","","","CHARLES PARK","","","","Public","","1978"
"CN158735","","City","$415,000","","","2.0","","","St. Andrews Links","","","","Public","","2018"
"CN158758","","City","$46,500","","","1.0","","","n/a","","","","Public","",""
"CN158781","","City","$177,500","","","1.0","","","Deerfield","","","","Public","","1979"
"CN158763","","City","$219,500","","","1.0","","","Twin Bridges","","","","Public","","2020"
"CN158808","","City","$30,000","","","1.0","","","Acadian Village","","","","Public","",""
"CN158806","","City","$352,000","","","1.0","","","Hunters Grove","","","","Public","","1989"
"CN158795","","City","$365,000","","","1.0","","","Charles Park","","","","Public","","2016"
"CN158858","","City","$230,800","","","1.0","","","Charles Park","","","","Public","","1973"
"CN158847","","City","$333,000","","","1.0","","","West Pointe","","","","Public","","2010"
"CN158837","","City","$360,000","","","1.0","","","Pecan Bayou","","","","Public","","2020"
"CN158833","","City","$214,500","","","1.0","","","Fairfield","","","","Public","","1996"
"CN158854","","City","$129,000","","","1.0","","","Highpoint Addn.","","","","Public","","1962"
"CN158823","","City","$116,000","","","1.0","","","Acadian Park","","","","Public","","1997"
"CN159867","","City","$180,000","","","1.0","","","PARK PLACE","","","","Public","","1947"
"CN159864","","City","$178,000","","","1.0","","","Vogler","","","","Public","","1968"
"CN158849","","None","$472,000","","","2.0","","","BONAIRE 1","","","","Public","","2015"
"CN158846","","City","$225,650","","","1.0","","","Petrus HTS Subd","","","","Public","","1955"
"CN159883","","City","$195,000","","","1.0","","","Fairfield","","","","Public","","1988"
"CN159919","","City","$110,000","","","1.0","","","Hill Addn","","","","Public","",""
"CN158830","","City","$440,000","","","1.0","","","Tennyson Oaks","","","","Public","","1999"
"CN159869","","City","$249,000","","","2.0","","","Wilshire Park","","","","Public","","1968"
"CN159936","","City","$286,000","","","1.0","","","Westpoint","","","","Public","Water Front","2001"
"CN159920","","City","$285,000","","","1.5","","","Charles Park","","","","Public","","1971"
"CN159910","","City","$212,000","","","1.0","","","Lakeside Subdivision","","","","Public","","1940"
"CN159940","","City","$66,000","","","1.0","","","Kellyland","","","","Public","",""
"CN159896","","City","$251,000","","","1.0","","","BOCAGE","","","","Public","","2012"
"CN159952","","City","$130,000","","","1.0","","","Popular Grove","","","","Public","",""
"CN159944","","City","$212,500","","","1.0","","","Charles Park","","","","Public","",""
"CN159957","","City","$195,500","","","1.0","","","Lebanon","","","","Public","","1966"
"CN159951","","City","$180,120","","","1.0","","","Brookhaven","","","","Public","","1996"
"CN159978","","City","$338,000","","","1.0","","","Tennyson Oaks","","","","Public","","1997"
"CN159966","","City","$131,800","","","1.0","","","Cicardo","","","","Public","",""
"CN159994","","City","$115,000","","","1.0","","","Petrus Heights","","","","Public","","1952"
"CN160002","","City","$175,000","","","1.0","","","North Park Village","","","","Public","","2015"
"CN159981","","City","$314,750","","","1.0","","","Park Place","","","","Public","","1947"
"CN160033","","City","$480,000","","","2.0","","","The Lake Disctrict","","","","Public","","2007"
"CN158851","","City","$179,900","","","1.0","","","Good Earth","","","","Public","","1982"
"CN159897","","City","$180,000","","","1.0","","","Mimosa Place","","","","Public","",""
"CN160036","","City","$220,000","","","1.0","","","Audubon Place","","","","Public","",""
"CN160023","","City","$165,000","","","1.0","","","Martin Park","","","","Public","","1968"
"CN160038","","City","$65,000","","","1.0","","","Southeast Services","","","","Public","","1950"
"CN160052","","City","$128,500","","","1.0","","","MARTIN PARK","","","","Public","","1978"
"CN160109","","City","$215,000","","","1.0","","","BRIARWOOD WEST","","","","Public","","1970"
"CN160032","","City","$202,500","","","1.0","","","BAYOU TRACE TOWNHOME","","","","Public","","1996"
"CN160088","","Septic","$159,999","","","1.0","","","Therese Estates","","","","Public","","2014"
"CN160106","","City","$284,000","","","2.0","","","Fairfield","","","","Public","","2017"
"CN160097","","City","$249,500","","","1.0","","","Bocage","","","","Public","","2007"
"CN160095","","City","$36,000","","","1.0","","","Economy Homes","","","","Public","",""
"CN160093","","City","$260,000","","","1.0","","","ClLERMONT","","","","Public","","1984"
"CN160091","","City","$230,500","","","1.0","","","YOHO PARK","","","","Public","","2021"
"CN160120","","","$198,000","","","1.0","","","Bonnette Bend","","","","Public","","1990"
"CN160099","","City","$150,000","","","2.0","","","Willow Wood Condo","","","","Public","","1982"
"CN160005","","City","$175,000","","","1.0","","","None","","","","Public","","1947"
"CN160129","","City","$409,500","","","1.0","","","St. Andrews Links Es","","","","Public","Water Front","2016"
"CN160084","","City","$565,000","","","2.0","","","Landmark","","","","Public","","1988"
"CN160138","","City","$215,000","","","1.0","","","Charles Park","","","","Public","","1971"
"CN160148","","","$320,000","","","1.0","","","Bayou Rapides Estate","","","","Public","Water Front","2002"
"CN160171","","City","$88,500","","","1.0","","","GREEN OAK","","","","Public","","1964"
"CN160153","","City","$125,000","","","1.0","","","ALSACE LORRAINE","","","","Public","",""
"CN160176","","City","$142,500","","","2.0","","","Nutley Grove","","","","Public","",""
"CN160197","","City","$98,500","","","1.0","","","Faust","","","","Public","","1955"
"CN160189","","","$106,400","","","1.0","","","Huffman's","","","","Public","",""
"CN160182","","City","$173,400","","","1.0","","","MIMOSA PLACE","","","","Public","",""
"CN160218","","","$135,000","","","1.0","","","Lebanon","","","","Public","","1972"
"CN160207","","City","$150,000","","","1.0","","","Martin Park","","","","Public","","1964"
"CN160270","","","$70,000","","","1.0","","","Hunter Scallan","","","","Public","","1960"
"CN160237","","City","$180,000","","","1.0","","","Goodearth","","","","Public","","1979"
"CN160222","","City","$135,000","","","1.0","","","Bonneterre","","","","Public","",""
"CN160235","","City","$47,250","","","1.0","","","Hill","","","","Public","",""
"CN160263","","City","$335,000","","","1.0","","","Pecan Bayou","","","","Public","","2021"
"CN160216","","","$97,500","","","2.0","","","BROOKHAVEN","","","","Public","",""
"CN160274","","City","$82,000","","","1.0","","","None","","","","Public","","1957"
"CN160268","","City","$159,500","","","1.0","","","Martin Park","","","","Public","","1968"
"CN160290","","City","$590,000","","","1.0","","","Pecan Bayou","","","","Public","Water Front","2020"
"CN160283","","City","$192,000","","","1.0","","","St. Charles Pl","","","","Public","","1999"
"CN160282","","City","$262,000","","","1.0","","","Clermont Estates","","","","Public","","1985"
"CN160306","","City","$142,647","","","1.0","","","HIGHPOINT ADDN","","","","Public","","1970"
"CN160332","","City","$737,500","","","2.0","","","Pecan Bayou","","","","Public","","2017"
"CN160318","","City","$83,000","","","1.0","","","Airview Terrace","","","","Public","",""
"CN160307","","City","$140,000","","","1.0","","","Grundy Cooper","","","","Public","","1968"
"CN160323","","City","$195,000","","","1.0","","","Bocage","","","","Public","","2003"
"CN160355","","City","$147,000","","","1.0","","","Nutley Grove","","","","Public","","1964"
"CN160315","","City","$149,500","","","1.0","","","S. A. GUY ADDN","","","","Public","",""
"CN160339","","City","$172,000","","","2.0","","","GOODEARTH","","","","Public","","1982"
"CN160221","","City","$55,000","","","1.0","","","Sycamore Grove","","","","Public","","1957"
"CN160370","","City","$394,000","","","2.0","","","Bonaire","","","","Public","","2018"
"CN160366","","City","$129,000","","","1.0","","","THE ALSACE LORRAINE","","","","Public","",""
"CN160369","","City","$426,000","","","1.0","","","Pecan Bayou sub PH 2","","","","Public","","2018"
"CN160399","","City","$198,000","","","1.5","","","Thiels Place","","","","Public","","1981"
"CN160398","","City","$406,777","","","1.0","","","Pecan Bayou","","","","Public","","2016"
"CN160395","","","$105,000","","","2.0","","","Brookhaven","","","","Public","",""
"CN160406","","City","$239,900","","","1.0","","","Cherokee Village","","","","Public","","1965"
"CN160440","","City","$175,000","","","1.0","","","Good Earth","","","","Public","","1982"
"CN160401","","City","$345,000","","","1.0","","","Hillcrest Addition","","","","Public","","1940"
"CN160396","","","$381,500","","","1.0","","","PECAN RIDGE ESTATES","","","","Public","","2007"
"CN160365","","City","$93,000","","","1.0","","","FAUST SUBD","","","","Public","",""
"CN160431","","City","$110,000","","","1.0","","","Collins Estates","","","","Public","","1934"
"CN160482","","City","$60,000","","","1.0","","","Raintree","","","","Public","","1983"
"CN160458","","","$122,000","","","1.0","","","Grundy Cooper","","","","Public","",""
"CN160478","","","$630,000","","","1.5","","","The Colum,ns","","","","Public","","2013"
"CN160481","","","$175,000","","","1.0","","","Brookhaven","","","","Public","","1996"
"CN160480","","City","$784,500","","","2.0","","","Bayou Robert Estates","","","","Public","","1997"
"CN160473","","City","$789,000","","","1.5","","","The Lake District","","","","Public","Water Front","2005"
"CN160523","","City","$367,500","","","1.0","","","Tennyson Oaks","","","","Public","","1997"
"CN160509","","City","$166,500","","","1.0","","Party Wall Double","Good Earth","","","","Public","","1980"
"CN160555","","","$79,000","","","1.0","","","Grundy Cooper","","","","Public","","1965"
"CN160543","","City","$350,000","","","2.0","","","WILSHIRE PARK","","","","Public","","1967"
"CN160538","","City","$228,100","","","1.5","","","GOOD EARTH SUBD","","","","Public","","1989"
"CN160536","","City","$225,900","","","1.0","","","Charles Park","","","","Public","","1973"
"CN160570","","City","$112,000","","","1.0","","","Bonneterre","","","","Public","","1960"
"CN160547","","City","$148,000","","","1.0","","","St Charles","","","","Public","",""
"CN160587","","City","$250,000","","","1.0","","","BRIARWOOD","","","","Public","","1969"
"CN160573","","City","$137,500","","","1.0","","","N/A","","","","Public","",""
"CN160571","","City","$15,000","","","1.0","","","Dixie Place","","","","Public","","1947"
"CN160569","","City","$35,000","","","1.0","","","Bennett-Daspit","","","","Public","","1961"
"CN160559","","City","$130,000","","","1.0","","","Nutley Grove","","","","Public","",""
"CN160616","","City","$298,000","","","1.0","","","West Point","","","","Public","","2007"
"CN160612","","City","$265,000","","","2.0","","","White Addition","","","","Public","","1922"
"CN160593","","City","$365,000","","","1.0","","","Wilshire Park","","","","Public","","1968"
"CN160637","","City","$114,000","","","1.0","","","Brookhaven","","","","Public","",""
"CN160628","","City","$182,500","","","1.0","","","AUDUBON PLACE","","","","Public","",""
"CN160620","","City","$190,000","","","2.0","","","Charles Park Addn","","","","Public","",""
"CN160375","","City","$490,000","","","2.0","","","Hillcrest Addn.","","","","Public","","1951"
"CN160613","","City","$100,000","","","1.0","","","Poplar Grove Addn","","","","Public","","1915"
"CN160634","","City","$189,000","","","1.0","","","White-Gates Subd.","","","","Public","","1950"
"CN160632","","City","$306,500","","","1.0","","","West Point","","","","Public","",""
"CN160624","","Septic","$174,550","","","1.0","","","Penny Acres","","","","Public","","1957"
"CN160654","","","$123,000","","","1.0","","","WALNUT GROVE","","","","Public","",""
"CN160651","","City","$400,000","","","1.0","","","Pecan Grove","","","","Public","","1940"
"CN160676","","City","$145,000","","","1.0","","","Pecan Square Townhom","","","","Public","",""
"CN160660","","City","$155,000","","","1.0","","","Plantation Acres","","","","Public","","1956"
"CN160646","","City","$600,000","","","1.0","","","The Lake District","","","","Public","","2007"
"CN160661","","City","$389,000","","","1.0","","","Pecan Bayou","","","","Public","","2021"
"CN160719","","City","$554,000","","","1.5","","","Landmark","","","","Public","","1983"
"CN160714","","City","$192,500","","","2.0","","","Spendthrift Plantati","","","","Public","","2013"
"CN160710","","City","$289,900","","","1.0","","Party Wall Double","Bayou Court","","","","Public","Water Front","1990"
"CN160720","","City","$50,000","","","1.0","","","THORNTON PLACE","","","","Public","",""
"CN160739","","City","$235,901","","","1.0","","","Good Earthh","","","","Public","","2021"
"CN160728","","City","$385,000","","","1.0","","","Crossgates","","","","Public","","2009"
"CN160741","","City","$335,000","","","1.0","","","CHARLES PARK","","","","Public","",""
"CN160761","","City","$260,000","","","1.0","","","Charles Park","","","","Public","","1974"
"CN160747","","City","$304,000","","","1.0","","","Charles Park","","","","Public","","1973"
"CN160746","","City","$253,500","","","1.0","","","BOCAGE PHASE IV","","","","Public","",""
"CN160752","","City","$127,000","","","1.0","","","FLYNN","","","","Public","Water Front","1956"
"CN160762","","City","$439,900","","","1.0","","","TENNYSON OAKS","","","","Public","Water View","2013"
"CN160754","","City","$250,000","","","1.0","","","Martin Park","","","","Public","","1953"
"CN160749","","City","$20,000","","","1.0","","","Homewood Place","","","","Public","",""
"CN160805","","City","$54,000","","","1.0","","","MAGNOLIA PARK","","","","Public","","1935"
"CN160801","","City","$220,000","","","1.0","","","Kilpatrick Addition","","","","Public","","1936"
"CN160800","","City","$99,900","","","1.0","","","Sherwood Park","","","","Public","","1963"
"CN160816","","City","$145,000","","","1.0","","","Florence Jones","","","","Public","","1950"
"CN160783","","City","$420,000","","","1.0","","","Pecan Bayou","","","","Public","",""
"CN160803","","City","$384,500","","","1.0","","","CHARLES PARK EXTENSI","","","","Public","","2012"
"CN160859","","City","$169,900","","","1.0","","","Martin Park","","","","Public","",""
"CN160888","","City","$70,000","","","1.0","","","Hill Addition","","","","Public","","1927"
"CN160843","","","$89,500","","","1.0","","","Walden Court","","","","Public","","1961"
"CN160820","","City","$60,000","","","1.0","","","Roberts","","","","Public","","1923"
"CN160849","","City","$260,000","","","1.0","","","Martin Park","","","","Public","",""
"CN160841","","City","$232,000","","","1.0","","","Charles Park","","","","Public","",""
"CN160854","","City","$138,000","","","1.0","","","St Charles Place","","","","Public","",""
"CN160794","","City","$225,000","","","1.0","","","CHARLES PARK","","","","Public","",""
"CN160836","","City","$139,900","","","1.0","","","Poplar Grove","","","","Public","","1942"
"CN160887","","City","$132,000","","","1.0","","","Lebanon","","","","Public","","1971"
"CN160838","","City","$93,000","","","2.0","","","Charles Park","","","","Public","",""
"CN160862","","City","$388,000","","","1.0","","","WOODRIDGE SUBD","","","","Public","","2018"
"CN160965","","City","$230,000","","","1.0","","","Plantation Acres","","","","Public","","1960"
"CN160937","","City","$190,500","","","1.0","","","Grundy Cooper","","","","Public","","1963"
"CN160934","","City","$47,000","","","1.0","","","Kelley Land","","","","Public","",""
"CN160964","","City","$96,500","","","1.0","","","WILLIAMSBURG CONDOS","","","","Public","",""
"CN160955","","City","$125,000","","","1.0","","","Camellia Place Sub","","","","Public","","1965"
"CN160958","","","$270,000","","","1.0","","","West Lakes","","","","Public","","2015"
"CN160993","","City","$85,000","","","2.0","","","Willow Wood Condo","","","","Public","",""
"CN160970","","City","$185,000","","","1.0","","","Villa Rachelle","","","","Public","","2006"
"CN160967","","City","$135,500","","","1.0","","","Airview Terrace","","","","Public","","1958"
"CN160998","","City","$144,000","","","1.0","","","Plantation Acres","","","","Public","",""
"CN160985","","City","$169,500","","","1.0","","","Horseshoe Gardens","","","","Public","","1965"
"CN160961","","City","$180,000","","","1.0","","","MARTIN PARK","","","","Public","",""
"CN160920","","City","$272,000","","","1.0","","","Bocage","","","","Public","","2004"
